CustomerID,Gender,Age,Tenure_Months,Monthly_Charges,Contract_Type,Internet_Service,Payment_Method,Support_Calls,Churn
CUST001,Male,49,6,25.76,One year,Fiber optic,Electronic Check,7,Yes
CUST002,Female,56,37,74.95,Month-to-month,No,Credit Card,0,No
CUST003,Male,49,24,64.15,Month-to-month,DSL,Bank Transfer,4,Yes
CUST004,Male,21,46,108.77,One year,DSL,Electronic Check,2,Yes
CUST005,Male,47,53,55.09,Month-to-month,Fiber optic,Bank Transfer,2,No
CUST006,Female,54,60,31.71,Month-to-month,Fiber optic,Mailed Check,1,Yes
CUST007,Male,40,63,34.3,One year,DSL,Electronic Check,7,No
CUST008,Male,56,32,96.15,Two year,Fiber optic,Electronic Check,3,Yes
CUST009,Male,62,33,81.82,Month-to-month,DSL,Bank Transfer,6,Yes
CUST010,Female,32,67,30.11,Month-to-month,DSL,Electronic Check,5,Yes
CUST011,Male,60,18,28.41,Month-to-month,Fiber optic,Bank Transfer,7,No
CUST012,Male,46,25,90.1,Month-to-month,Fiber optic,Electronic Check,2,Yes
CUST013,Male,53,54,27.28,Month-to-month,No,Credit Card,4,No
CUST014,Male,30,58,102.19,Month-to-month,Fiber optic,Bank Transfer,7,Yes
CUST015,Female,49,67,90.62,Month-to-month,Fiber optic,Electronic Check,1,No
CUST016,Male,24,46,28.13,Month-to-month,Fiber optic,Mailed Check,1,Yes
CUST017,Female,39,24,28.48,Month-to-month,DSL,Electronic Check,5,No
CUST018,Female,45,32,118.66,Month-to-month,Fiber optic,Mailed Check,4,No
CUST019,Female,19,47,57.43,Month-to-month,DSL,Mailed Check,3,No
CUST020,Male,59,23,57.06,Month-to-month,No,Credit Card,7,No
CUST021,Female,62,66,101.28,Month-to-month,DSL,Bank Transfer,4,No
CUST022,Male,23,27,114.72,Two year,Fiber optic,Electronic Check,3,No
CUST023,Female,45,2,118.6,One year,DSL,Credit Card,4,Yes
CUST024,Female,45,17,95.34,One year,No,Electronic Check,4,Yes
CUST025,Female,61,33,57.63,One year,Fiber optic,Mailed Check,0,No
CUST026,Female,61,9,28.35,Month-to-month,Fiber optic,Bank Transfer,1,Yes
CUST027,Female,37,43,97.71,Month-to-month,DSL,Electronic Check,7,No
CUST028,Female,47,48,75.84,Month-to-month,Fiber optic,Electronic Check,4,Yes
CUST029,Female,28,39,62.42,One year,DSL,Mailed Check,7,Yes
CUST030,Female,45,42,110.64,One year,No,Electronic Check,5,Yes
CUST031,Male,42,26,31.12,Month-to-month,DSL,Electronic Check,4,No
CUST032,Male,56,50,69.26,Month-to-month,DSL,Mailed Check,2,Yes
CUST033,Female,50,25,21.14,Month-to-month,DSL,Credit Card,1,Yes
